Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
549,Rayjon Tucker,SG,24,DEN,3,0,29,1.2,2.5,0.5,1.2,2.5,0.5,0,0,,3.7,5,0.75,1.2,3.7,5,5,1.2,0,0,3.7,7.4,tuckera01
549,Rayjon Tucker,SG,24,MIL,2,0,42,4.3,6,0.714,2.6,2.6,1,1.7,3.4,0.5,1.7,2.6,0.667,1.7,1.7,3.4,5.1,2.6,0,0.9,1.7,12.9,tuckera01
550,Myles Turner,C,25,IND,42,42,1235,5.8,11.5,0.509,1.8,5.3,0.333,4.1,6.1,0.662,2.3,3.1,0.752,1.9,6.8,8.7,1.3,0.8,3.4,1.6,3.5,15.7,turnemy01
551,Jonas Valančiūnas,C,29,NOP,74,74,2240,8.2,15.1,0.544,0.9,2.5,0.361,7.3,12.5,0.581,3.8,4.6,0.82,3.6,9.9,13.5,3.1,0.7,1,2.9,4,21.1,valanjo01
552,Denzel Valentine,SG,28,TOT,24,0,222,4.1,10.7,0.379,3.1,7.6,0.404,1,3.1,0.316,0,0,,1.5,5.4,6.8,1.8,1.3,0,1.9,3.2,11.2,valende01
552,Denzel Valentine,SG,28,CLE,22,0,204,4.1,10.9,0.371,3.2,7.8,0.409,0.9,3.2,0.278,0,0,,1.6,5.1,6.7,1.9,1.2,0,1.8,3,11.3,valende01
552,Denzel Valentine,SG,28,UTA,2,0,18,4,8,0.5,2,6,0.333,2,2,1,0,0,,0,8,8,0,2,0,4,6,10,valende01
553,Jarred Vanderbilt,PF,22,MIN,74,67,1880,4.1,6.9,0.587,0,0.3,0.143,4,6.6,0.605,1.6,2.5,0.656,4.1,7.8,11.9,1.8,1.9,0.9,1.4,3.5,9.8,vandeja01
554,Fred VanVleet,PG,27,TOR,65,65,2462,6.5,16,0.403,3.5,9.4,0.377,2.9,6.7,0.44,2.8,3.2,0.874,0.6,3.6,4.2,6.3,1.6,0.5,2.5,2.4,19.3,vanvlfr01
555,Devin Vassell,SF,21,SAS,71,32,1937,6.1,14.2,0.427,2.5,7.1,0.361,3.5,7.1,0.492,1.5,1.8,0.838,0.8,4.9,5.7,2.5,1.4,0.8,1.1,2.7,16.2,vassede01
556,Gabe Vincent,PG,25,MIA,68,27,1589,4.8,11.6,0.417,2.7,7.3,0.368,2.2,4.3,0.5,1,1.2,0.815,0.5,2.4,2.9,4.8,1.4,0.3,2.2,3.6,13.4,vincega01
557,Nikola Vučević,C,31,CHI,73,73,2418,8.1,17.2,0.473,1.5,4.9,0.314,6.6,12.3,0.537,1.4,1.8,0.76,2.1,9.9,12,3.5,1,1.1,2,2.7,19.2,vucevni01
558,Dean Wade,PF,25,CLE,51,28,980,3.6,8,0.456,1.9,5.2,0.359,1.8,2.8,0.64,0.7,1.1,0.667,1.1,4.4,5.5,1.9,1.1,0.3,0.6,3.2,9.9,wadede01
559,Franz Wagner,SF,20,ORL,79,79,2429,6.8,14.5,0.468,1.4,4,0.354,5.3,10.4,0.511,2.8,3.2,0.863,1.2,4,5.3,3.4,1,0.5,1.8,2.4,17.7,wagnefr01
560,Moritz Wagner,C,24,ORL,63,3,960,7.4,14.9,0.497,2.5,7.5,0.328,4.9,7.3,0.672,3.9,4.8,0.806,1.6,7.1,8.7,3.3,0.7,0.5,2.1,4.6,21.2,wagnemo01
561,Ish Wainright,PF,27,PHO,45,0,359,4.1,10.4,0.394,1.9,5.9,0.322,2.2,4.5,0.489,0.7,1.2,0.583,2.7,2.7,5.4,1.5,2,0.6,1.3,4.9,10.8,wainris01
562,Kemba Walker,PG,31,NYK,37,37,948,5.7,14.1,0.403,2.8,7.6,0.367,2.9,6.5,0.444,2.3,2.7,0.845,0.5,3.7,4.2,5,1,0.3,1.8,1.4,16.4,walkeke02
563,Lonnie Walker IV,SG,23,SAS,70,6,1612,6.9,17.1,0.407,2.5,7.9,0.314,4.5,9.2,0.487,2.6,3.3,0.784,0.4,3.6,4,3.4,1,0.4,1.6,2.2,19,walkelo01
564,M.J. Walker,SG,23,PHO,2,0,8,0,18,0,0,9,0,0,9,0,0,0,,0,4.5,4.5,4.5,9,0,0,4.5,0,walkemj01
565,Tyrone Wallace,SG,27,NOP,6,0,75,3.4,9.6,0.35,1,3.8,0.25,2.4,5.8,0.417,0.5,2.4,0.2,0,3.8,3.8,0.5,1.4,0.5,1,3.4,8.2,wallaty01
566,Derrick Walton,PG,26,DET,3,3,108,2,8.7,0.231,1,4.3,0.231,1,4.3,0.231,1.3,1.3,1,0.7,2.7,3.3,7,2.3,1.3,3.7,2.7,6.3,waltode01
567,Brad Wanamaker,PG,32,TOT,23,2,320,3.2,8.7,0.364,0.5,1.9,0.235,2.7,6.8,0.4,2.6,2.8,0.92,0.7,3.7,4.4,6.2,0.8,0.7,2.6,5.1,9.3,wanambr01
567,Brad Wanamaker,PG,32,IND,22,1,293,3.2,8.8,0.361,0.5,2.1,0.235,2.7,6.8,0.4,2.5,2.7,0.909,0.7,3.6,4.3,5.9,0.6,0.7,2.8,5.2,9.3,wanambr01
567,Brad Wanamaker,PG,32,WAS,1,1,27,2.7,6.7,0.4,0,0,,2.7,6.7,0.4,4,4,1,0,5.3,5.3,9.3,2.7,0,0,4,9.3,wanambr01
568,Duane Washington Jr.,PG,21,IND,48,7,968,6.4,15.9,0.405,3,8,0.377,3.4,7.9,0.434,1.7,2.3,0.754,0.1,2.9,3.1,3.2,1,0.1,2.1,2.5,17.6,washidu02
569,P.J. Washington,C,23,CHO,65,28,1768,5.1,10.8,0.47,2.2,6.1,0.365,2.9,4.7,0.606,1.2,1.6,0.716,1.7,5.2,6.9,3,1.2,1.2,1.7,3.1,13.6,washipj01
570,Yuta Watanabe,SF,27,TOR,38,4,445,4.5,11.2,0.406,2.2,6.4,0.342,2.3,4.8,0.492,1.9,3.2,0.6,1.5,6,7.4,1.7,0.9,1.3,1.5,3.1,13.2,watanyu01
571,Lindy Waters III,SG,24,OKC,25,1,465,5.5,13.5,0.406,4.1,11.3,0.363,1.4,2.2,0.621,0.3,0.4,0.8,0.5,5.2,5.7,1.9,1.5,0.6,0.9,2.4,15.4,waterli01
572,Tremont Waters,PG,24,TOT,3,0,50,2.9,10.1,0.286,1.4,6.5,0.222,1.4,3.6,0.4,0,0,,0,2.9,2.9,5,3.6,0,2.9,2.9,7.2,watertr01
572,Tremont Waters,PG,24,TOR,2,0,42,2.6,10.3,0.25,1.7,7.7,0.222,0.9,2.6,0.333,0,0,,0,3.4,3.4,6,3.4,0,3.4,1.7,6.9,watertr01
572,Tremont Waters,PG,24,WAS,1,0,8,4.5,9,0.5,0,0,,4.5,9,0.5,0,0,,0,0,0,0,4.5,0,0,9,9,watertr01
573,Trendon Watford,SF,21,POR,48,10,869,5.9,11.1,0.532,0.4,1.6,0.237,5.5,9.5,0.581,2.9,3.9,0.755,2.4,5.9,8.2,3.4,1,1.2,1.8,4.8,15.1,watfotr01
574,Paul Watson,SF,27,OKC,9,3,156,2.8,8.1,0.343,1.4,6,0.231,1.4,2.1,0.667,0.2,0.5,0.5,0.7,5.5,6.2,1.8,0.7,0.7,0.9,2.3,7.2,watsopa01
575,Quinndary Weatherspoon,SG,25,GSW,11,0,73,5.9,10.4,0.571,0.5,2.5,0.2,5.4,7.9,0.688,2.5,2.5,1,1,5.9,6.9,2.5,0.5,0.5,1.5,7.4,14.8,weathqu01
576,Russell Westbrook,PG,33,LAL,78,78,2678,7.4,16.6,0.444,1.1,3.6,0.298,6.3,13,0.485,3.6,5.4,0.667,1.5,6.3,7.8,7.4,1,0.3,4,3.2,19.4,westbru01
577,Coby White,PG,21,CHI,61,17,1675,6,13.8,0.433,2.9,7.6,0.385,3.1,6.3,0.491,1.7,2,0.857,0.4,3.5,3.9,3.8,0.6,0.2,1.5,2.9,16.6,whiteco01
578,Derrick White,SG,27,TOT,75,52,2199,5.5,13.1,0.421,1.9,6,0.312,3.6,7.1,0.515,3.3,3.8,0.864,0.6,3.7,4.3,6,1,0.9,1.9,2.8,16.2,whitede01
578,Derrick White,SG,27,SAS,49,48,1486,5.9,13.8,0.426,2,6.3,0.314,3.9,7.6,0.519,3.4,3.9,0.869,0.6,3.6,4.2,6.6,1.2,1,2.1,2.8,17.1,whitede01
578,Derrick White,SG,27,BOS,26,4,713,4.7,11.6,0.409,1.7,5.6,0.306,3,6,0.504,3.2,3.8,0.853,0.7,3.8,4.4,4.6,0.8,0.8,1.6,2.8,14.4,whitede01
579,Hassan Whiteside,C,32,UTA,65,8,1162,6.7,10.2,0.652,0,0,,6.7,10.2,0.652,3.2,5.2,0.623,5.1,10.2,15.3,0.8,0.7,3.2,1.6,5.5,16.5,whiteha01
580,Joe Wieskamp,SG,22,SAS,29,0,205,3.5,9.8,0.357,2.5,7.6,0.326,1.1,2.3,0.462,1.2,2.3,0.538,0.7,1.8,2.5,1.6,0.7,0.5,0.4,2.5,10.7,wieskjo01
581,Aaron Wiggins,SG,23,OKC,50,35,1209,4.6,10,0.463,1.3,4.1,0.304,3.4,5.9,0.573,1.8,2.5,0.729,1.5,3.8,5.3,2,0.9,0.3,1.6,2.8,12.4,wiggiaa01
582,Andrew Wiggins,SF,26,GSW,73,73,2330,7.3,15.7,0.466,2.4,6.2,0.393,4.9,9.6,0.513,2.3,3.6,0.634,1.3,3.7,5,2.5,1.2,0.8,1.7,2.4,19.4,wiggian01
583,Lindell Wigginton,PG,23,MIL,19,0,199,4.7,11,0.426,1.6,4.7,0.346,3.1,6.3,0.486,3.4,6.3,0.543,0.5,4,4.5,4.2,0.9,0.2,2.2,3.1,14.5,wiggili01
584,Brandon Williams,PG,22,POR,24,16,640,5.9,15.9,0.372,1.7,6,0.292,4.2,9.9,0.42,3.8,5.5,0.701,1.1,3.1,4.2,5.3,1.4,0.6,3.3,2.9,17.4,willibr03
585,Grant Williams,PF,23,BOS,77,21,1875,3.9,8.3,0.475,2,5,0.411,1.9,3.3,0.569,1.7,1.8,0.905,1.2,4,5.3,1.5,0.7,1.1,1.2,3.6,11.6,willigr01
586,Kenrich Williams,SF,27,OKC,49,0,1072,4.9,10.6,0.461,1.4,4.1,0.339,3.5,6.6,0.536,1,1.8,0.545,2.5,4.9,7.4,3.6,1.5,0.3,1.5,2.7,12.2,willike04
587,Lou Williams,PG,35,ATL,56,0,799,5.6,14.4,0.391,1.7,4.6,0.363,4,9.8,0.404,3,3.5,0.859,0.7,3.2,3.9,4.7,1.3,0.1,1.9,2.2,15.9,willilo02
588,Patrick Williams,PF,20,CHI,17,9,422,4.6,8.7,0.529,1.3,2.5,0.517,3.3,6.2,0.534,2.6,3.5,0.732,1.5,4.4,5.9,1.3,0.8,0.8,1.4,2.4,13.1,willipa01
589,Robert Williams,C,24,BOS,61,61,1804,5.4,7.3,0.736,0,0,0,5.4,7.3,0.738,1.3,1.8,0.722,4.7,7,11.7,2.4,1.1,2.7,1.3,2.7,12.1,williro04
590,Ziaire Williams,SF,20,MEM,62,31,1346,5.1,11.3,0.45,2,6.5,0.314,3.1,4.9,0.632,1.2,1.5,0.782,0.7,2.8,3.5,1.7,0.9,0.3,1.1,3,13.4,willizi02
591,D.J. Wilson,PF,25,TOR,4,1,54,7.3,10,0.733,0,1.3,0,7.3,8.7,0.846,5.3,6.7,0.8,0.7,10,10.7,3.3,3.3,0.7,1.3,4,20,wilsodj01
592,Dylan Windler,SF,25,CLE,50,0,459,2.9,7.7,0.378,1.6,5.5,0.3,1.3,2.2,0.571,1.2,1.4,0.833,1.6,5.3,7,2.7,1.1,0.2,1.3,3.7,8.6,windldy01
593,Justise Winslow,PF,25,TOT,48,11,775,5.1,11.9,0.428,0.7,3.1,0.227,4.4,8.9,0.497,1.8,3.1,0.591,2.3,7.1,9.4,3.9,1.6,1.2,2.3,3.1,12.7,winslju01
593,Justise Winslow,PF,25,LAC,37,1,480,4.7,10.6,0.447,0.4,2.2,0.172,4.3,8.4,0.518,1.9,3.1,0.61,2.3,7.7,10,3.9,1.6,1.4,2.8,3.4,11.7,winslju01
593,Justise Winslow,PF,25,POR,11,10,295,5.7,14.2,0.405,1.2,4.5,0.27,4.5,9.6,0.468,1.7,3.1,0.56,2.4,6,8.4,3.9,1.7,0.9,1.5,2.6,14.4,winslju01
594,Cassius Winston,PG,23,WAS,7,0,39,3.7,10.2,0.364,1.8,5.5,0.333,1.8,4.6,0.4,3.7,3.7,1,0,0.9,0.9,6.5,0,0,2.8,8.3,12.9,winstca01
595,Christian Wood,C,26,HOU,68,67,2094,7.6,15.1,0.501,2.3,5.8,0.39,5.3,9.3,0.57,3.6,5.7,0.623,1.9,9.9,11.8,2.7,0.9,1.1,2.2,2.9,20.9,woodch01
596,Robert Woodard II,SF,22,SAC,12,0,42,1.7,13.7,0.125,0.9,3.4,0.25,0.9,10.3,0.083,1.7,1.7,1,4.3,5.1,9.4,2.6,0.9,0.9,0.9,2.6,6,woodaro01
597,Delon Wright,SG,29,ATL,77,8,1452,3,6.7,0.454,1.1,2.9,0.379,1.9,3.8,0.51,1.3,1.6,0.857,1.2,4.2,5.5,4.7,2.3,0.5,1.1,1.4,8.5,wrighde01
598,McKinley Wright IV,PG,23,MIN,5,0,19,3.8,5.7,0.667,1.9,3.8,0.5,1.9,1.9,1,0,0,,0,0,0,5.7,0,0,1.9,1.9,9.5,wrighmc01
599,Moses Wright,PF,23,TOT,4,0,15,2.4,9.6,0.25,0,2.4,0,2.4,7.2,0.333,7.2,7.2,1,2.4,4.8,7.2,4.8,0,2.4,0,0,12,wrighmo01
599,Moses Wright,PF,23,LAC,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,36,0,0,0,0,0,wrighmo01
599,Moses Wright,PF,23,DAL,3,0,13,2.8,11.1,0.25,0,2.8,0,2.8,8.3,0.333,8.3,8.3,1,2.8,5.5,8.3,2.8,0,2.8,0,0,13.8,wrighmo01
600,Gabe York,SG,28,IND,2,0,21,3.4,12,0.286,1.7,10.3,0.167,1.7,1.7,1,5.1,8.6,0.6,0,3.4,3.4,6.9,3.4,1.7,1.7,6.9,13.7,yorkga01
601,Thaddeus Young,PF,33,TOT,52,1,845,6,11.6,0.518,0.7,2,0.354,5.3,9.5,0.554,1,2.1,0.469,3.4,5.5,8.9,4.4,2.3,0.8,2.2,3.5,13.7,youngth01
601,Thaddeus Young,PF,33,SAS,26,1,370,7.2,12.5,0.578,0,0.5,0,7.2,12,0.602,1,2.1,0.455,3.9,5.2,9,5.7,2.2,0.7,2.9,3.7,15.4,youngth01
601,Thaddeus Young,PF,33,TOR,26,0,475,5.1,10.9,0.465,1.3,3.3,0.395,3.8,7.7,0.495,1,2,0.481,3,5.7,8.7,3.4,2.3,0.8,1.7,3.3,12.4,youngth01
602,Trae Young,PG,23,ATL,76,76,2652,9.7,21,0.46,3.2,8.3,0.382,6.5,12.7,0.512,6.8,7.5,0.904,0.7,3.2,3.9,10,1,0.1,4.1,1.7,29.3,youngtr01
603,Omer Yurtseven,C,23,MIA,56,12,706,6.6,12.6,0.526,0.1,0.6,0.091,6.6,12,0.547,1.9,3.1,0.623,4.3,10.7,15,2.5,0.9,1,2.1,4.3,15.2,yurtsom01
604,Cody Zeller,C,29,POR,27,0,355,5.2,9.1,0.567,0,0.4,0,5.2,8.7,0.593,3.9,5,0.776,5.1,7.6,12.7,2.2,0.8,0.6,1.9,5.7,14.2,zelleco01
605,Ivica Zubac,C,24,LAC,76,76,1852,6,9.6,0.626,0,0,,6,9.6,0.626,3.2,4.4,0.727,4.2,8.3,12.5,2.3,0.7,1.5,2.2,3.9,15.3,zubaciv01
