Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
499,Landry Shamet,SG,24,PHO,69,14,1437,4.8,12.2,0.394,3.1,8.4,0.368,1.7,3.8,0.45,1.7,2,0.84,0.4,2.8,3.2,2.7,0.7,0.2,1,2.3,14.4,shamela01
500,Day'Ron Sharpe,PF,20,BRK,32,8,391,7.9,13.7,0.577,0.2,0.6,0.286,7.7,13.1,0.592,2.2,3.8,0.585,7.5,7.3,14.7,1.6,0.9,1.4,2.8,5.5,18.2,sharpda01
501,Pascal Siakam,PF,27,TOR,68,68,2578,8.3,16.9,0.494,1,3,0.344,7.3,13.8,0.527,4,5.3,0.749,1.8,6.3,8.1,5,1.2,0.6,2.5,3.1,21.7,siakapa01
502,Chris Silva,PF,25,TOT,10,0,91,3.2,5.9,0.533,0,0,,3.2,5.9,0.533,4,4.7,0.833,5.1,9.1,14.2,2.8,0,0.4,3.2,7.9,10.3,silvach01
502,Chris Silva,PF,25,MIN,1,0,3,0,0,,0,0,,0,0,,0,0,,0,12,12,0,0,0,0,0,0,silvach01
502,Chris Silva,PF,25,MIA,9,0,88,3.3,6.1,0.533,0,0,,3.3,6.1,0.533,4.1,4.9,0.833,5.3,9,14.3,2.9,0,0.4,3.3,8.2,10.6,silvach01
503,Marko Simonovic,C,22,CHI,9,0,35,4.1,15.4,0.267,1,5.1,0.2,3.1,10.3,0.3,8.2,11.3,0.727,5.1,5.1,10.3,0,1,1,2.1,6.2,17.5,simonma01
504,Anfernee Simons,SG,22,POR,57,30,1681,7.6,17.1,0.443,3.8,9.5,0.405,3.7,7.6,0.49,2.2,2.5,0.888,0.6,2.7,3.2,4.7,0.6,0.1,2.5,2.4,21.2,simonan01
505,Zavier Simpson,PG,24,OKC,4,4,174,3.9,10.8,0.365,0.2,1.7,0.125,3.7,9.1,0.409,1,1,1,0.4,3.9,4.3,6.2,1,0.8,2.1,3.1,9.1,simpsza01
506,Jericho Sims,PF,23,NYK,41,5,555,2.5,3.5,0.722,0,0,,2.5,3.5,0.722,0.8,1.9,0.414,4,7,11,1.4,0.7,1.4,1.3,4.3,5.8,simsje01
507,Deividas Sirvydis,SG,21,DET,3,0,27,1.3,13.3,0.1,1.3,9.3,0.143,0,4,0,0,0,,0,8,8,1.3,4,1.3,0,5.3,4,sirvyde01
508,Javonte Smart,PG,22,TOT,17,1,200,3.4,10.8,0.317,1.4,4.9,0.296,2,5.9,0.333,0.9,1.1,0.833,0.9,3.4,4.3,2.9,1.1,0.5,2,2.2,9.2,smartja01
508,Javonte Smart,PG,22,MIL,13,1,160,2.5,9.7,0.256,0.9,4.1,0.222,1.6,5.6,0.28,1.1,1.4,0.833,0.9,3.4,4.3,3.2,0.9,0.5,2,2.5,7,smartja01
508,Javonte Smart,PG,22,MIA,4,0,40,7.2,15.3,0.471,3.6,8.1,0.444,3.6,7.2,0.5,0,0,,0.9,3.6,4.5,1.8,1.8,0.9,1.8,0.9,18,smartja01
509,Marcus Smart,PG,27,BOS,71,71,2296,4.7,11.3,0.418,1.9,5.6,0.331,2.8,5.6,0.506,2.2,2.8,0.793,0.7,3.6,4.2,6.5,1.9,0.3,2.5,2.5,13.5,smartma01
510,Dennis Smith Jr.,PG,24,POR,37,4,638,4.5,10.7,0.418,0.3,1.5,0.222,4.1,9.1,0.451,2.4,3.6,0.656,1.1,3.8,5,7.4,2.5,0.7,2.9,2.9,11.6,smithde03
511,Ish Smith,PG,33,TOT,65,1,1126,5.9,13.7,0.43,0.8,2.1,0.373,5.1,11.6,0.441,0.5,0.8,0.625,0.8,3.7,4.5,7.8,1.5,0.7,2.5,2.5,13.1,smithis01
511,Ish Smith,PG,33,CHO,37,1,511,5.1,13,0.395,0.7,1.8,0.4,4.4,11.3,0.394,0.8,1.3,0.632,0.8,3.2,4,6.9,1.4,0.7,2.5,2.4,11.8,smithis01
511,Ish Smith,PG,33,WAS,28,0,615,6.6,14.3,0.457,0.9,2.5,0.357,5.7,11.9,0.478,0.2,0.3,0.6,0.8,4,4.9,8.5,1.6,0.8,2.5,2.6,14.2,smithis01
512,Jalen Smith,PF,21,TOT,51,8,924,6.9,13.6,0.503,1.6,4.8,0.328,5.3,8.9,0.596,3,4,0.765,3.9,8,12,0.9,0.6,1.6,1.6,3.7,18.3,smithja04
