iter	RMSE
215	0.6976336947
216	0.6962533176
217	0.6943847422
218	0.6936604587
219	0.6926440615
220	0.6897043656
221	0.6895286027
222	0.6891360211
223	0.688285998
224	0.6869496715
225	0.6861077969
226	0.6839673638
227	0.6817425654
228	0.6802503775
229	0.6789197092
230	0.6778103751
231	0.6763880277
232	0.6755451434
233	0.6733385433
234	0.6702398703
235	0.6690639542
236	0.6684589479
237	0.6672067874
238	0.6636512466
239	0.6621146541
240	0.6608094599
241	0.6598479756
242	0.6571605011
243	0.6567566085
244	0.6552887843
245	0.6520675672
246	0.6512246893
247	0.648941837
248	0.6461922356
249	0.6457604465
250	0.6449601447
251	0.6438420544
252	0.6416485262
253	0.6394315144
254	0.6390458624
255	0.6378252191
256	0.6361036472
257	0.6331469771
258	0.6307269222
259	0.6300519236
260	0.6282705986
261	0.6275343861
262	0.6266617805
263	0.6242029001
264	0.6215470209
265	0.619979125
266	0.619656071
267	0.6175890256
268	0.6169327359
269	0.6155179288
270	0.6125272338
271	0.6108095451
272	0.6090649972
273	0.6084655499
274	0.6052304285
275	0.603928548
276	0.6018703311
277	0.6002156576
278	0.5988037312
279	0.5972686102
280	0.595856865
281	0.593039847
282	0.5927533084
283	0.5909601561
284	0.588423278
285	0.5872678138
286	0.5869256675
287	0.5866171324
288	0.5850271579
289	0.5842129373
290	0.5836873446
291	0.5816771523
292	0.5790076797
293	0.5783209506
294	0.57736064
295	0.5758732179
296	0.5745034188
297	0.5733283972
298	0.5720163401
299	0.5702721471
300	0.5693617885
301	0.5680936116
302	0.5659269995
303	0.5649916191
304	0.5631920233
305	0.5607184804
306	0.5593291619
307	0.5590070815
308	0.5588289191
309	0.5571578243
310	0.55694693
311	0.5561101368
312	0.5544902189
313	0.5530434652
314	0.5521394688
315	0.5506759926
316	0.5498215835
317	0.548576424
318	0.548245317
319	0.5464119477
320	0.5452438167
321	0.5445629896
322	0.5440630421
323	0.5424703662
324	0.5402858345
325	0.5401334924
326	0.5379924751
327	0.5365624992
328	0.5346992435
329	0.5342454301
330	0.5325190762
331	0.5308137475
332	0.5293428349
333	0.5274659852
334	0.5264462357
335	0.5254242428
336	0.5249243065
337	0.5241033488
338	0.5232700645
339	0.5212296878
340	0.5199433867
341	0.5184922541
342	0.5177442479
343	0.5162782121
344	0.5150401553
345	0.5131005428
346	0.512338825
347	0.5108036913
348	0.509481097
349	0.5084917906
350	0.50657168
351	0.5043579513
352	0.5039881432
353	0.5033946262
354	0.500760516
355	0.4988631483
356	0.4968454043
357	0.4948863191
358	0.4937019182
359	0.4927107247
360	0.4915102452
361	0.4912364839
362	0.4897507275
363	0.4881473374
364	0.4879697095
365	0.4873410221
366	0.4861670315
367	0.4848051209
368	0.4837944223
369	0.4822042892
370	0.4801870394
371	0.479289434
372	0.4779930996
373	0.4771199707
374	0.4757086937
375	0.4738000283
376	0.472119642
377	0.4709277645
378	0.4701714701
379	0.4692957197
380	0.4670671083
381	0.4648347972
382	0.4637868232
383	0.4632642122
384	0.4612281099
385	0.4595219307
386	0.4593943234
387	0.4571160708
388	0.4550733641
389	0.4534354736
390	0.4521437349
391	0.4520604381
392	0.4513788349
393	0.4503638247
394	0.449210561
395	0.4483334735
396	0.447246323
397	0.4451602145
398	0.443479494
399	0.4423103556
400	0.4406636517
401	0.4391619966
402	0.4385191714
403	0.43730555
404	0.4361818698
405	0.4343122864
406	0.4330872594
407	0.4325912867
408	0.4323589659
409	0.4309387049
410	0.4300558139
411	0.4283036765
412	0.4272865693
413	0.4259751214
414	0.424391395
415	0.4224634164
416	0.421730119
417	0.4209567315
418	0.4192682249
419	0.4187249168
420	0.417627061
421	0.4164523003
422	0.415843359
423	0.4155385516
424	0.4138954652
425	0.4133204147
426	0.4126391317
427	0.411218879
428	0.41002719
429	0.4089746295
430	0.4081785609
431	0.4073209974
432	0.4064332448
433	0.4054504139
434	0.4042763844
435	0.4031574175
436	0.4021486404
437	0.4006601575
438	0.3996793418
439	0.3994036491
440	0.3985507676
441	0.3978673544
442	0.3965920842
443	0.3958795352
444	0.3947688905
445	0.3942926785
446	0.3930066987
447	0.3920881604
448	0.3914959248
449	0.390206388
450	0.3893043269
451	0.3872792121
452	0.3860200677
453	0.3857556809
454	0.3849383861
455	0.3843473406
456	0.383215268
457	0.3831073923
458	0.38239999
459	0.3817160765
460	0.3800948042
461	0.3781082975
462	0.3768966071
463	0.3757842496
464	0.3747538334
465	0.3732934555
466	0.3732229516
467	0.3724549867
468	0.3719622242
469	0.370809476
470	0.3700574129
471	0.3691427484
472	0.3678584441
473	0.3673475298
474	0.367178233
475	0.3668944281
476	0.3655148792
477	0.3639919161
478	0.3630031994
479	0.361634874
480	0.3604251727
481	0.3600227514
482	0.358777015
483	0.3582736778
484	0.3568884555
485	0.3565703669
486	0.3560378215
487	0.3545025117
488	0.3538141959
489	0.3525972064
490	0.3517750226
491	0.3507628638
492	0.3499330564
493	0.3488199324
494	0.3482812696
495	0.3469162623
496	0.3468374718
497	0.3460256187
498	0.3455576902
499	0.3449787827
500	0.3448841973
501	0.3441971407
502	0.3425516597
503	0.3414079883
504	0.3407572188
505	0.3400466835
506	0.3387300475
507	0.337734358
508	0.3370175841
509	0.3362359688
510	0.3349120343
511	0.3336979002
512	0.3333615509
513	0.3322775213
514	0.3312615111
515	0.330989037
516	0.3298920769
517	0.3298495198
518	0.3292422264
519	0.3277189538
520	0.3269983939
521	0.3263425623
522	0.3249669694
523	0.3237703377
524	0.3223204898
525	0.3215515308
526	0.3200833319
527	0.3191589429
528	0.3176863876
529	0.31656076
530	0.3152963074
531	0.3146846003
532	0.3133675345
533	0.31263129
534	0.3116814868
535	0.311482678
536	0.3110421249
537	0.31014405
538	0.3097632015
539	0.3090753062
540	0.3084786492
541	0.3075314992
542	0.3063555157
543	0.3056427981
544	0.3040999329
545	0.3034541104
546	0.3033816445
547	0.3032452253
548	0.3029635965
549	0.3026967379
550	0.3021700498
551	0.3018725926
552	0.300918906
553	0.3007728209
554	0.3006540137
555	0.2995353707
556	0.298442825
557	0.2974889807
558	0.2965875142
559	0.2959642949
560	0.2950430969
561	0.2938368905
562	0.2932892888
563	0.2921081844
564	0.2914421804
565	0.2913409814
566	0.2901054791
567	0.2890330338
568	0.2879965982
569	0.2872727925
570	0.2865979308
571	0.285565423
572	0.2845205165
573	0.2837784505
574	0.2831105921
575	0.2822714486
576	0.2814499856
577	0.28059837
578	0.2800014033
579	0.2797082429
580	0.2787559369
581	0.2780516772
582	0.2775389206
583	0.276923814
584	0.2758610038
585	0.2750992901
586	0.2744852399
587	0.2742419258
588	0.2730519924
589	0.2729897422
590	0.2728671162
591	0.2726665756
592	0.2719494275
593	0.2707311374
594	0.2700271543
595	0.2692705038
596	0.2681865557
597	0.267762631
598	0.2669821524
599	0.2663030002
600	0.2660267261
601	0.2651083154
602	0.2638909271
603	0.2631578085
604	0.2622508088
605	0.2616264906
606	0.2609664567
607	0.2603309897
608	0.2596748252
609	0.2590551913
610	0.2585658913
611	0.2581570893
612	0.2573041212
613	0.2564874934
614	0.2563280149
615	0.2562109341
616	0.2557926843
617	0.2549033424
618	0.2542173112
619	0.2537704154
620	0.2528853313
621	0.2524244209
622	0.2520689479
623	0.2515729652
624	0.2511477435
625	0.2502247754
626	0.2497165889
627	0.2488369008
628	0.2480242478
629	0.2479480117
630	0.2477471379
631	0.2469731735
632	0.2460743366
633	0.2457704378
634	0.2449080791
635	0.2448433951
636	0.2444876644
637	0.2442480813
638	0.2435766605
639	0.2425615764
640	0.2418044271
641	0.2412678442
642	0.2412270044
643	0.241141924
644	0.2408277907
645	0.2401190827
646	0.2394005984
647	0.2388924264
648	0.2382302967
649	0.237540185
650	0.2372410057
651	0.2368288773
652	0.2362308202
653	0.235612083
654	0.2351198776
655	0.2343319631
656	0.2340182868
657	0.2334572766
658	0.2332745277
659	0.2323736835
660	0.2315774239
661	0.231343201
662	0.2310574996
663	0.2303891094
664	0.2296586601
665	0.2291149061
666	0.2285602187
667	0.2278894704
668	0.227272685
669	0.2264446767
670	0.2263650973
671	0.2255944597
672	0.225137349
673	0.2243117218
674	0.2242390657
675	0.2240771667
676	0.2233379027
677	0.2228308886
678	0.2218169143
679	0.2211124876
680	0.2209315813
681	0.2202238858
682	0.219497754
683	0.2189126036
684	0.217832258
685	0.2176318226
686	0.2175495256
687	0.2171938751
688	0.2166389415
689	0.2160990723
690	0.2153248397
691	0.2150147011
692	0.213891681
693	0.21384913
694	0.2130305414
695	0.212749549
696	0.2120491734
697	0.2114060337
698	0.2109098938
699	0.2102667951
700	0.2098179348
701	0.2096837208
702	0.2088486333
703	0.2082087558
704	0.2074616308
705	0.2067866712
706	0.2059997807
707	0.2055250143
708	0.2048609459
709	0.2045405408
710	0.2038887323
711	0.2034170267
712	0.2027967603
713	0.2019923059
714	0.2019430548
715	0.2013536841
716	0.200506569
717	0.200094415
718	0.1994738462
719	0.1991375701
720	0.1984504378
721	0.1980016757
722	0.1972898428
723	0.1968753776
724	0.1962286082
725	0.1956602192
726	0.1952370297
727	0.1944695084
728	0.1940590319
729	0.1935566958
730	0.192871849
731	0.1923328333
732	0.1919240812
733	0.1914826592
734	0.1911592323
735	0.1905788296
736	0.1905013442
737	0.1901079774
738	0.1897907753
739	0.1894539813
740	0.1890067705
741	0.1889184701
742	0.1885668786
743	0.1882699333
744	0.1880095764
745	0.1875342661
746	0.1868693872
747	0.1860558363
748	0.1855458068
749	0.18463984
750	0.1842381552
751	0.1838333133
752	0.1834730099
753	0.1834451993
754	0.182830939
755	0.1824733156
756	0.1818144332
757	0.1813917263
758	0.18103345
759	0.1806812644
760	0.1803083332
761	0.1799865656
762	0.1794248348
763	0.1792114486
764	0.1787151844
765	0.1781213281
766	0.1777968973
767	0.1774741228
768	0.1772106808
769	0.1766288268
770	0.1763357845
771	0.1759245629
772	0.1752570388
773	0.1744275826
774	0.1735608622
775	0.1730754261
776	0.1728326728
777	0.1726437383
778	0.1721061399
779	0.171723602
780	0.1711657208
781	0.1704932028
782	0.1701613194
783	0.1697407688
784	0.1697077687
785	0.1694953016
786	0.1691500918
787	0.1690420239
788	0.1685673548
789	0.1685440658
790	0.1680135123
791	0.1676136263
792	0.1671578282
793	0.1670093976
794	0.1664589425
795	0.1659304418
796	0.1657478737
797	0.1655044231
798	0.1648198995
799	0.1643206101
800	0.1638290027
801	0.1635169609
802	0.163261356
803	0.1628156826
804	0.1622128832
805	0.1617039876
806	0.1611405409
807	0.1607542963
808	0.1606379125
809	0.1601332251
810	0.1598662178
811	0.1596675316
812	0.1592840626
813	0.1589723164
814	0.1584949434
815	0.1581766981
816	0.1577450756
817	0.1573614526
818	0.1568866626
819	0.1565068189
820	0.1560054314
821	0.1558133401
822	0.1554089814
823	0.155042866
824	0.1547896166
825	0.154506208
826	0.154015687
827	0.1537006042
828	0.1532238061
829	0.1529120295
830	0.152593746
831	0.1522864918
832	0.152054682
833	0.1516757534
834	0.1514976138
835	0.1510201558
836	0.1507475756
837	0.1501575331
838	0.1497258546
839	0.1495798755
840	0.149295389
841	0.1486800608
842	0.1483907983
843	0.1481766001
844	0.1480721628
845	0.1474821249
846	0.1470540542
847	0.1470060117
848	0.1469680144
849	0.1465654053
850	0.1460331257
851	0.1458160046
852	0.1455828178
853	0.1451214811
854	0.1450350815
855	0.1445029058
856	0.1441940362
857	0.1437649851
858	0.1432387689
859	0.1426061153
860	0.1423279813
861	0.1421628441
862	0.1417157937
863	0.1415885312
864	0.1413586025
865	0.1408484675
866	0.1406886375
867	0.1401834989
868	0.1396202301
869	0.1392389969
870	0.1391456065
871	0.1389097897
872	0.1386423545
873	0.138374818
874	0.1379310046
875	0.1375201067
876	0.1369938293
877	0.1365852335
878	0.1362811762
879	0.1359151036
880	0.135501228
881	0.1352997304
882	0.1347527052
883	0.1347268589
884	0.1344942827
885	0.1341701983
886	0.1339371894
887	0.1338427536
888	0.1336489889
889	0.1334990703
890	0.1331000501
891	0.1324556904
892	0.1320392809
893	0.1318569627
894	0.1316639802
895	0.1314165027
896	0.1308584703
897	0.1306509087
898	0.1302439544
899	0.1299310818
900	0.12961913
901	0.1292071779
902	0.128755039
903	0.1282534081
904	0.1277871576
905	0.1275586133
906	0.127340896
907	0.127054464
908	0.1266719869
909	0.1265320376
910	0.1262693391
911	0.125890014
912	0.1255221502
913	0.1250670525
914	0.1247688335
915	0.1244220849
916	0.1243707433
917	0.123977292
918	0.1237917807
919	0.1236716041
920	0.123348769
921	0.1231474067
922	0.1230390099
923	0.1228866406
924	0.1226552562
925	0.1223112336
926	0.1221084254
927	0.1216182797
928	0.1211669988
929	0.1210439515
930	0.120681184
931	0.1204797658
932	0.1202584407
933	0.1198690033
934	0.1196939339
935	0.1196682856
936	0.1193469615
937	0.1189627289
938	0.1184759967
939	0.118203472
940	0.1177528581
941	0.1174652029
942	0.1173440926
943	0.1171041356
944	0.1169461076
945	0.1166325242
946	0.1164776741
947	0.1161934087
948	0.116181294
949	0.1155337231
950	0.1152260167
951	0.1150517753
952	0.1147941312
953	0.1147057481
954	0.1145356213
955	0.114146799
956	0.1137361573
957	0.1135790622
958	0.1133997141
959	0.1132286307
960	0.1130486428
961	0.1125916626
962	0.1123623223
963	0.1119496216
964	0.1116994753
965	0.1114126104
966	0.11107509
967	0.1109497153
968	0.1104575034
969	0.1102240376
970	0.1102001172
971	0.1098851683
972	0.109621339
973	0.1094691303
974	0.1093100204
975	0.1091051427
976	0.1087294911
977	0.108505182
978	0.1081511285
979	0.1078814437
980	0.107523231
981	0.107285837
982	0.1068718787
983	0.1066426705
984	0.1066312168
985	0.1061311449
986	0.1057418955
987	0.105561138
988	0.1052081913
989	0.1051563316
990	0.105142013
991	0.1049048396
992	0.1047986507
993	0.1045560373
994	0.1042459122
995	0.1040592832
996	0.1037275323
997	0.1033283401
998	0.1030597367
999	0.1027035581
